VE_Ashift,VE_Ashift_crr,nTrials,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
4.74737209384831,4.74737209384831,30,congruent,post,8,8,ZY,8
3.01883014433501,3.01883014433501,20,congruent,post,16,16,ZY,8
3.37781192923117,3.37781192923117,10,congruent,post,24,24,ZY,8
1.85675627069995,-1.85675627069995,10,incongruent,pre,-24,24,ZY,8
-4.50414835236297,4.50414835236297,20,incongruent,pre,-16,16,ZY,8
-2.92741061185297,2.92741061185297,30,incongruent,pre,-8,8,ZY,8
1.15560148699596,1.15560148699596,40,incongruent,pre,0,0,ZY,8
4.41180617005322,4.41180617005322,30,incongruent,pre,8,8,ZY,8
1.78837408442322,1.78837408442322,20,incongruent,pre,16,16,ZY,8
2.5756206979305,2.5756206979305,10,incongruent,pre,24,24,ZY,8
-5.14730390521886,5.14730390521886,10,incongruent,post,-24,24,ZY,8
-9.91235623973255,9.91235623973255,20,incongruent,post,-16,16,ZY,8
-3.98599154916162,3.98599154916162,30,incongruent,post,-8,8,ZY,8
0.221444683818448,0.221444683818448,40,incongruent,post,0,0,ZY,8
0.639852581796488,0.639852581796488,30,incongruent,post,8,8,ZY,8
1.35862163291076,1.35862163291076,20,incongruent,post,16,16,ZY,8
2.36145833612004,2.36145833612004,10,incongruent,post,24,24,ZY,8
-3.50745530833979,3.50745530833979,10,congruent,pre,-24,24,MR,9
-5.14522420132575,5.14522420132575,20,congruent,pre,-16,16,MR,9
-2.6203536329881,2.6203536329881,30,congruent,pre,-8,8,MR,9
0.531627077075074,0.531627077075074,40,congruent,pre,0,0,MR,9
2.97480457680861,2.97480457680861,30,congruent,pre,8,8,MR,9
5.71422298485578,5.71422298485578,20,congruent,pre,16,16,MR,9
5.03234506843828,5.03234506843828,10,congruent,pre,24,24,MR,9
-8.72524605646271,8.72524605646271,10,congruent,post,-24,24,MR,9
-3.93530736500067,3.93530736500067,20,congruent,post,-16,16,MR,9
-0.806081540337542,0.806081540337542,30,congruent,post,-8,8,MR,9
0.998562732097091,0.998562732097091,40,congruent,post,0,0,MR,9
4.85997870259877,4.85997870259877,30,congruent,post,8,8,MR,9
7.26182664922744,7.26182664922744,20,congruent,post,16,16,MR,9
6.73523549592129,6.73523549592129,10,congruent,post,24,24,MR,9
-9.0996852973421,9.0996852973421,10,incongruent,pre,-24,24,MR,9
-8.31475643223945,8.31475643223945,20,incongruent,pre,-16,16,MR,9
-3.93951593142699,3.93951593142699,30,incongruent,pre,-8,8,MR,9
