UnityJudgment,Condition,Phase,SpatialD,SpatialD_abs,SubjI
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
1,incongruent,pre,8,8,PW
