VE_Vshift,VE_Vshift_crr,nTrials,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
0.551557659749339,-0.551557659749339,30,incongruent,post,8,8,HL,3
0.844294611328809,-0.844294611328809,20,incongruent,post,16,16,HL,3
0.368398415101655,-0.368398415101655,10,incongruent,post,24,24,HL,3
1.6821250260819,1.6821250260819,10,congruent,pre,-24,24,YZ,4
-0.218532412066807,-0.218532412066807,20,congruent,pre,-16,16,YZ,4
0.0651027215010593,0.0651027215010593,30,congruent,pre,-8,8,YZ,4
-0.0551801400051932,-0.0551801400051932,40,congruent,pre,0,0,YZ,4
-0.213251316535728,0.213251316535728,30,congruent,pre,8,8,YZ,4
-0.697537153147979,0.697537153147979,20,congruent,pre,16,16,YZ,4
-1.43852503797197,1.43852503797197,10,congruent,pre,24,24,YZ,4
0.403984537614526,0.403984537614526,10,congruent,post,-24,24,YZ,4
0.170410194753791,0.170410194753791,20,congruent,post,-16,16,YZ,4
0.0970237884806267,0.0970237884806267,30,congruent,post,-8,8,YZ,4
-0.180098649278578,-0.180098649278578,40,congruent,post,0,0,YZ,4
-0.469503957780557,0.469503957780557,30,congruent,post,8,8,YZ,4
-1.24457098950372,1.24457098950372,20,congruent,post,16,16,YZ,4
-1.52768258135938,1.52768258135938,10,congruent,post,24,24,YZ,4
0.33404934275303,0.33404934275303,10,incongruent,pre,-24,24,YZ,4
-0.350250886139434,-0.350250886139434,20,incongruent,pre,-16,16,YZ,4
-0.0868735300732283,-0.0868735300732283,30,incongruent,pre,-8,8,YZ,4
-0.374230792574426,-0.374230792574426,40,incongruent,pre,0,0,YZ,4
-0.442627758050249,0.442627758050249,30,incongruent,pre,8,8,YZ,4
-0.758420655406272,0.758420655406272,20,incongruent,pre,16,16,YZ,4
-1.30783239459839,1.30783239459839,10,incongruent,pre,24,24,YZ,4
1.22970805050871,1.22970805050871,10,incongruent,post,-24,24,YZ,4
0.376474795030946,0.376474795030946,20,incongruent,post,-16,16,YZ,4
0.0149788336374335,0.0149788336374335,30,incongruent,post,-8,8,YZ,4
-0.352136005010725,-0.352136005010725,40,incongruent,post,0,0,YZ,4
-0.234708549595068,0.234708549595068,30,incongruent,post,8,8,YZ,4
-1.23518097413313,1.23518097413313,20,incongruent,post,16,16,YZ,4
-1.32490710212129,1.32490710212129,10,incongruent,post,24,24,YZ,4
2.63191174514426,2.63191174514426,10,congruent,pre,-24,24,NH,5
0.963894864695132,0.963894864695132,20,congruent,pre,-16,16,NH,5
0.0688881737490471,0.0688881737490471,30,congruent,pre,-8,8,NH,5
0.0547162679496565,0.0547162679496565,40,congruent,pre,0,0,NH,5
-1.00380949294059,1.00380949294059,30,congruent,pre,8,8,NH,5
-2.6045711605097,2.6045711605097,20,congruent,pre,16,16,NH,5
-2.96573682522421,2.96573682522421,10,congruent,pre,24,24,NH,5
0.0875515953497908,0.0875515953497908,10,congruent,post,-24,24,NH,5
0.11030224091935,0.11030224091935,20,congruent,post,-16,16,NH,5
-1.24967881719442,-1.24967881719442,30,congruent,post,-8,8,NH,5
-0.906678359903151,-0.906678359903151,40,congruent,post,0,0,NH,5
-1.5859222900697,1.5859222900697,30,congruent,post,8,8,NH,5
-2.27481785618768,2.27481785618768,20,congruent,post,16,16,NH,5
-3.16245666806252,3.16245666806252,10,congruent,post,24,24,NH,5
1.1738447144594,1.1738447144594,10,incongruent,pre,-24,24,NH,5
0.584905376160123,0.584905376160123,20,incongruent,pre,-16,16,NH,5
-0.0951015165870703,-0.0951015165870703,30,incongruent,pre,-8,8,NH,5
-0.355025201237681,-0.355025201237681,40,incongruent,pre,0,0,NH,5
-0.656522253341614,0.656522253341614,30,incongruent,pre,8,8,NH,5
-1.13053206277829,1.13053206277829,20,incongruent,pre,16,16,NH,5
-2.20012751354081,2.20012751354081,10,incongruent,pre,24,24,NH,5
0.738019712511229,0.738019712511229,10,incongruent,post,-24,24,NH,5
0.435911550732612,0.435911550732612,20,incongruent,post,-16,16,NH,5
-0.605675735559085,-0.605675735559085,30,incongruent,post,-8,8,NH,5
-1.00298989954161,-1.00298989954161,40,incongruent,post,0,0,NH,5
-1.21309726373431,1.21309726373431,30,incongruent,post,8,8,NH,5
-1.68984758228187,1.68984758228187,20,incongruent,post,16,16,NH,5
-1.54910073327459,1.54910073327459,10,incongruent,post,24,24,NH,5
-0.491739550171975,-0.491739550171975,10,congruent,pre,-24,24,ZZ,6
-0.478199897391496,-0.478199897391496,20,congruent,pre,-16,16,ZZ,6
0.265983884059036,0.265983884059036,30,congruent,pre,-8,8,ZZ,6
0.0289496337217582,0.0289496337217582,40,congruent,pre,0,0,ZZ,6
0.458019204254987,-0.458019204254987,30,congruent,pre,8,8,ZZ,6
1.00915933641427,-1.00915933641427,20,congruent,pre,16,16,ZZ,6
1.99267246728001,-1.99267246728001,10,congruent,pre,24,24,ZZ,6
-0.5489261121046,-0.5489261121046,10,congruent,post,-24,24,ZZ,6
0.1431957658709,0.1431957658709,20,congruent,post,-16,16,ZZ,6
-0.0757224919302342,-0.0757224919302342,30,congruent,post,-8,8,ZZ,6
0.499761537165454,0.499761537165454,40,congruent,post,0,0,ZZ,6
0.843244892723433,-0.843244892723433,30,congruent,post,8,8,ZZ,6
0.922189116928212,-0.922189116928212,20,congruent,post,16,16,ZZ,6
0.960422537792006,-0.960422537792006,10,congruent,post,24,24,ZZ,6
-0.635602652149809,-0.635602652149809,10,incongruent,pre,-24,24,ZZ,6
-0.574885564523028,-0.574885564523028,20,incongruent,pre,-16,16,ZZ,6
0.283561756029447,0.283561756029447,30,incongruent,pre,-8,8,ZZ,6
0.472768748303691,0.472768748303691,40,incongruent,pre,0,0,ZZ,6
1.1496393975515,-1.1496393975515,30,incongruent,pre,8,8,ZZ,6
1.51280492506938,-1.51280492506938,20,incongruent,pre,16,16,ZZ,6
1.75056904864651,-1.75056904864651,10,incongruent,pre,24,24,ZZ,6
-1.24565752480417,-1.24565752480417,10,incongruent,post,-24,24,ZZ,6
-0.469873561853876,-0.469873561853876,20,incongruent,post,-16,16,ZZ,6
0.362524160427713,0.362524160427713,30,incongruent,post,-8,8,ZZ,6
0.50021373569301,0.50021373569301,40,incongruent,post,0,0,ZZ,6
1.09635451122937,-1.09635451122937,30,incongruent,post,8,8,ZZ,6
1.48368590417827,-1.48368590417827,20,incongruent,post,16,16,ZZ,6
2.02367031741437,-2.02367031741437,10,incongruent,post,24,24,ZZ,6
-0.783751760901846,-0.783751760901846,10,congruent,pre,-24,24,BB,7
-0.276219180615741,-0.276219180615741,20,congruent,pre,-16,16,BB,7
-0.310953004955034,-0.310953004955034,30,congruent,pre,-8,8,BB,7
-0.533856010300317,-0.533856010300317,40,congruent,pre,0,0,BB,7
-0.369085819149748,0.369085819149748,30,congruent,pre,8,8,BB,7
-0.70736530258433,0.70736530258433,20,congruent,pre,16,16,BB,7
-0.465286939232458,0.465286939232458,10,congruent,pre,24,24,BB,7
-0.871763388459919,-0.871763388459919,10,congruent,post,-24,24,BB,7
0.238526578564906,0.238526578564906,20,congruent,post,-16,16,BB,7
-0.0557414654160539,-0.0557414654160539,30,congruent,post,-8,8,BB,7
-0.419805771175433,-0.419805771175433,40,congruent,post,0,0,BB,7
-0.317022238680423,0.317022238680423,30,congruent,post,8,8,BB,7
-0.457922596870682,0.457922596870682,20,congruent,post,16,16,BB,7
-0.879118207327497,0.879118207327497,10,congruent,post,24,24,BB,7
1.17343635292756,1.17343635292756,10,incongruent,pre,-24,24,BB,7
-0.0718234467257239,-0.0718234467257239,20,incongruent,pre,-16,16,BB,7
-0.266659460179752,-0.266659460179752,30,incongruent,pre,-8,8,BB,7
-0.895193103016693,-0.895193103016693,40,incongruent,pre,0,0,BB,7
-0.345389007394033,0.345389007394033,30,incongruent,pre,8,8,BB,7
-0.963614110568115,0.963614110568115,20,incongruent,pre,16,16,BB,7
-0.719602613649793,0.719602613649793,10,incongruent,pre,24,24,BB,7
0.310725213241982,0.310725213241982,10,incongruent,post,-24,24,BB,7
0.175733174761367,0.175733174761367,20,incongruent,post,-16,16,BB,7
-0.432767727888347,-0.432767727888347,30,incongruent,post,-8,8,BB,7
-0.418118261122364,-0.418118261122364,40,incongruent,post,0,0,BB,7
-0.323015395636315,0.323015395636315,30,incongruent,post,8,8,BB,7
-0.447575776601954,0.447575776601954,20,incongruent,post,16,16,BB,7
-0.929806389300814,0.929806389300814,10,incongruent,post,24,24,BB,7
-0.263003532345711,-0.263003532345711,10,congruent,pre,-24,24,ZY,8
0.0180628297138223,0.0180628297138223,20,congruent,pre,-16,16,ZY,8
0.230058284180981,0.230058284180981,30,congruent,pre,-8,8,ZY,8
-0.33432463775951,-0.33432463775951,40,congruent,pre,0,0,ZY,8
-0.448428193388643,0.448428193388643,30,congruent,pre,8,8,ZY,8
-0.214150547324412,0.214150547324412,20,congruent,pre,16,16,ZY,8
0.149655237136927,-0.149655237136927,10,congruent,pre,24,24,ZY,8
-0.916980935325138,-0.916980935325138,10,congruent,post,-24,24,ZY,8
-0.372409419568487,-0.372409419568487,20,congruent,post,-16,16,ZY,8
0.115037721632477,0.115037721632477,30,congruent,post,-8,8,ZY,8
-0.0713833094867745,-0.0713833094867745,40,congruent,post,0,0,ZY,8
-0.472667632190955,0.472667632190955,30,congruent,post,8,8,ZY,8
0.430350632176398,-0.430350632176398,20,congruent,post,16,16,ZY,8
1.21186164702544,-1.21186164702544,10,congruent,post,24,24,ZY,8
-2.0918966008872,-2.0918966008872,10,incongruent,pre,-24,24,ZY,8
-1.4769838175841,-1.4769838175841,20,incongruent,pre,-16,16,ZY,8
-0.617620341497551,-0.617620341497551,30,incongruent,pre,-8,8,ZY,8
-0.702428959554254,-0.702428959554254,40,incongruent,pre,0,0,ZY,8
-0.464920203583642,0.464920203583642,30,incongruent,pre,8,8,ZY,8
-0.263823502367996,0.263823502367996,20,incongruent,pre,16,16,ZY,8
1.42873265884836,-1.42873265884836,10,incongruent,pre,24,24,ZY,8
-1.16746860155506,-1.16746860155506,10,incongruent,post,-24,24,ZY,8
-0.602819824877585,-0.602819824877585,20,incongruent,post,-16,16,ZY,8
-0.549655029578956,-0.549655029578956,30,incongruent,post,-8,8,ZY,8
-0.27430700902786,-0.27430700902786,40,incongruent,post,0,0,ZY,8
0.205690720324674,-0.205690720324674,30,incongruent,post,8,8,ZY,8
0.47406723292243,-0.47406723292243,20,incongruent,post,16,16,ZY,8
-2.21153836209291,2.21153836209291,10,incongruent,post,24,24,ZY,8
2.04128318007103,2.04128318007103,10,congruent,pre,-24,24,MR,9
1.6855172568492,1.6855172568492,20,congruent,pre,-16,16,MR,9
1.34281524457388,1.34281524457388,30,congruent,pre,-8,8,MR,9
0.540626490966116,0.540626490966116,40,congruent,pre,0,0,MR,9
0.215657716889903,-0.215657716889903,30,congruent,pre,8,8,MR,9
0.0727000082847306,-0.0727000082847306,20,congruent,pre,16,16,MR,9
-0.075552589126387,0.075552589126387,10,congruent,pre,24,24,MR,9
2.12081189649627,2.12081189649627,10,congruent,post,-24,24,MR,9
1.5908525745779,1.5908525745779,20,congruent,post,-16,16,MR,9
0.799276641759175,0.799276641759175,30,congruent,post,-8,8,MR,9
0.441962561717913,0.441962561717913,40,congruent,post,0,0,MR,9
0.097984155992594,-0.097984155992594,30,congruent,post,8,8,MR,9
-0.242892492086928,0.242892492086928,20,congruent,post,16,16,MR,9
-1.17879289420988,1.17879289420988,10,congruent,post,24,24,MR,9
0.906355639364214,0.906355639364214,10,incongruent,pre,-24,24,MR,9
1.6744980382485,1.6744980382485,20,incongruent,pre,-16,16,MR,9
0.114454659967243,0.114454659967243,30,incongruent,pre,-8,8,MR,9
0.273714926727826,0.273714926727826,40,incongruent,pre,0,0,MR,9
0.415614801499725,-0.415614801499725,30,incongruent,pre,8,8,MR,9
-0.262025067028319,0.262025067028319,20,incongruent,pre,16,16,MR,9
-1.4395734612099,1.4395734612099,10,incongruent,pre,24,24,MR,9
3.70010993405937,3.70010993405937,10,incongruent,post,-24,24,MR,9
1.46268135980363,1.46268135980363,20,incongruent,post,-16,16,MR,9
0.54464341236646,0.54464341236646,30,incongruent,post,-8,8,MR,9
0.660292007853733,0.660292007853733,40,incongruent,post,0,0,MR,9
0.00718461293509941,-0.00718461293509941,30,incongruent,post,8,8,MR,9
0.583773663975644,-0.583773663975644,20,incongruent,post,16,16,MR,9
1.04804152055511,-1.04804152055511,10,incongruent,post,24,24,MR,9
1.47365562979115,1.47365562979115,10,congruent,pre,-24,24,ZL,10
0.651845438063421,0.651845438063421,20,congruent,pre,-16,16,ZL,10
1.01233192733682,1.01233192733682,30,congruent,pre,-8,8,ZL,10
0.561054081227196,0.561054081227196,40,congruent,pre,0,0,ZL,10
0.342566501007085,-0.342566501007085,30,congruent,pre,8,8,ZL,10
0.467416629953829,-0.467416629953829,20,congruent,pre,16,16,ZL,10
0.641455810437301,-0.641455810437301,10,congruent,pre,24,24,ZL,10
0.853810170395009,0.853810170395009,10,congruent,post,-24,24,ZL,10
1.06274150271409,1.06274150271409,20,congruent,post,-16,16,ZL,10
0.532724689716209,0.532724689716209,30,congruent,post,-8,8,ZL,10
0.210150404001254,0.210150404001254,40,congruent,post,0,0,ZL,10
-0.0153186182071385,0.0153186182071385,30,congruent,post,8,8,ZL,10
0.20882202163029,-0.20882202163029,20,congruent,post,16,16,ZL,10
-0.321367437198049,0.321367437198049,10,congruent,post,24,24,ZL,10
0.485126909659074,0.485126909659074,10,incongruent,pre,-24,24,ZL,10
0.378486765045467,0.378486765045467,20,incongruent,pre,-16,16,ZL,10
0.683567999148197,0.683567999148197,30,incongruent,pre,-8,8,ZL,10
0.376626869186126,0.376626869186126,40,incongruent,pre,0,0,ZL,10
0.65041668895331,-0.65041668895331,30,incongruent,pre,8,8,ZL,10
1.36108198067245,-1.36108198067245,20,incongruent,pre,16,16,ZL,10
0.338499496127346,-0.338499496127346,10,incongruent,pre,24,24,ZL,10
1.75636201966641,1.75636201966641,10,incongruent,post,-24,24,ZL,10
0.853535850971492,0.853535850971492,20,incongruent,post,-16,16,ZL,10
0.7626749408235,0.7626749408235,30,incongruent,post,-8,8,ZL,10
0.46971515147406,0.46971515147406,40,incongruent,post,0,0,ZL,10
0.664303585053867,-0.664303585053867,30,incongruent,post,8,8,ZL,10
0.260563651740479,-0.260563651740479,20,incongruent,post,16,16,ZL,10
1.50230963936143,-1.50230963936143,10,incongruent,post,24,24,ZL,10
0.0337648238865697,0.0337648238865697,10,congruent,pre,-24,24,RE,11
-0.100209919849814,-0.100209919849814,20,congruent,pre,-16,16,RE,11
0.086497835794996,0.086497835794996,30,congruent,pre,-8,8,RE,11
-0.502039086534495,-0.502039086534495,40,congruent,pre,0,0,RE,11
-1.24268186329705,1.24268186329705,30,congruent,pre,8,8,RE,11
-1.51054624781761,1.51054624781761,20,congruent,pre,16,16,RE,11
-1.58155943923964,1.58155943923964,10,congruent,pre,24,24,RE,11
0.158509362313697,0.158509362313697,10,congruent,post,-24,24,RE,11
-0.519800288395009,-0.519800288395009,20,congruent,post,-16,16,RE,11
-0.233159475263981,-0.233159475263981,30,congruent,post,-8,8,RE,11
-0.855163891541436,-0.855163891541436,40,congruent,post,0,0,RE,11
-1.43984470982023,1.43984470982023,30,congruent,post,8,8,RE,11
-2.4779978185655,2.4779978185655,20,congruent,post,16,16,RE,11
-1.92562521953326,1.92562521953326,10,congruent,post,24,24,RE,11
0.738814000199161,0.738814000199161,10,incongruent,pre,-24,24,RE,11
-0.167871303549718,-0.167871303549718,20,incongruent,pre,-16,16,RE,11
-0.0323422199419397,-0.0323422199419397,30,incongruent,pre,-8,8,RE,11
-0.702376423465473,-0.702376423465473,40,incongruent,pre,0,0,RE,11
-0.942087574956089,0.942087574956089,30,incongruent,pre,8,8,RE,11
-2.12010078617415,2.12010078617415,20,incongruent,pre,16,16,RE,11
-1.87248845830815,1.87248845830815,10,incongruent,pre,24,24,RE,11
0.125996375941202,0.125996375941202,10,incongruent,post,-24,24,RE,11
-0.113741534260016,-0.113741534260016,20,incongruent,post,-16,16,RE,11
-0.545060839330208,-0.545060839330208,30,incongruent,post,-8,8,RE,11
-0.617522323776093,-0.617522323776093,40,incongruent,post,0,0,RE,11
-1.47414329303809,1.47414329303809,30,incongruent,post,8,8,RE,11
-2.6591789402794,2.6591789402794,20,incongruent,post,16,16,RE,11
-1.75518994545919,1.75518994545919,10,incongruent,post,24,24,RE,11
1.49306271401581,1.49306271401581,10,congruent,pre,-24,24,MM,12
0.976634799652763,0.976634799652763,20,congruent,pre,-16,16,MM,12
0.569563961439133,0.569563961439133,30,congruent,pre,-8,8,MM,12
-0.0249290089386225,-0.0249290089386225,40,congruent,pre,0,0,MM,12
-0.728909456929869,0.728909456929869,30,congruent,pre,8,8,MM,12
-1.26596851783042,1.26596851783042,20,congruent,pre,16,16,MM,12
-1.9942351983545,1.9942351983545,10,congruent,pre,24,24,MM,12
1.5973879718747,1.5973879718747,10,congruent,post,-24,24,MM,12
0.96092137160447,0.96092137160447,20,congruent,post,-16,16,MM,12
0.804253819580509,0.804253819580509,30,congruent,post,-8,8,MM,12
