prctC1,nTrials,nTrialsC1,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
0.75,40,30,incongruent,post,16,16,MD,16
0.25,20,5,incongruent,post,24,24,MD,16
0.6,20,12,congruent,pre,-24,24,HHL,17
0.875,40,35,congruent,pre,-16,16,HHL,17
0.783333333333333,60,47,congruent,pre,-8,8,HHL,17
0.825,80,66,congruent,pre,0,0,HHL,17
0.8,60,48,congruent,pre,8,8,HHL,17
0.8,40,32,congruent,pre,16,16,HHL,17
0.7,20,14,congruent,pre,24,24,HHL,17
0.7,20,14,congruent,post,-24,24,HHL,17
0.8,40,32,congruent,post,-16,16,HHL,17
0.783333333333333,60,47,congruent,post,-8,8,HHL,17
0.75,80,60,congruent,post,0,0,HHL,17
0.9,60,54,congruent,post,8,8,HHL,17
0.85,40,34,congruent,post,16,16,HHL,17
0.65,20,13,congruent,post,24,24,HHL,17
0.6,20,12,incongruent,pre,-24,24,HHL,17
0.85,40,34,incongruent,pre,-16,16,HHL,17
0.916666666666667,60,55,incongruent,pre,-8,8,HHL,17
0.85,80,68,incongruent,pre,0,0,HHL,17
0.9,60,54,incongruent,pre,8,8,HHL,17
0.825,40,33,incongruent,pre,16,16,HHL,17
0.7,20,14,incongruent,pre,24,24,HHL,17
0.8,20,16,incongruent,post,-24,24,HHL,17
0.7,40,28,incongruent,post,-16,16,HHL,17
0.816666666666667,60,49,incongruent,post,-8,8,HHL,17
0.875,80,70,incongruent,post,0,0,HHL,17
0.933333333333333,60,56,incongruent,post,8,8,HHL,17
0.85,40,34,incongruent,post,16,16,HHL,17
0.7,20,14,incongruent,post,24,24,HHL,17
