LocShifts,LocShifts_corr,Condition,Phase,Modality,SpatialD,SpatialD_abs,SubjI
-2.78920058532492,2.78920058532492,congruent,pre,A,-8,8,PW
-2.01307833178205,2.01307833178205,congruent,pre,A,-8,8,PW
-2.32775179883979,2.32775179883979,congruent,pre,A,-8,8,PW
-3.13041642370467,3.13041642370467,congruent,pre,A,-8,8,PW
-2.32123538656617,2.32123538656617,congruent,pre,A,-8,8,PW
18.5572504661573,-18.5572504661573,congruent,pre,A,-8,8,PW
-2.47170029026837,2.47170029026837,congruent,pre,A,-8,8,PW
21.508582440403,-21.508582440403,congruent,pre,A,-8,8,PW
-2.55672745100789,2.55672745100789,congruent,pre,A,-8,8,PW
-0.726742849828431,-0.726742849828431,congruent,pre,V,-8,8,PW
-1.34097127209259,-1.34097127209259,congruent,pre,V,-8,8,PW
